,strat_id,strat_name,dt,type,price,size,value,commission,pnl
0,0,,2021-06-01 15:00:00,buy,2591.21,38.55345568290486,99900.0999000999,0.0,0.0
1,0,,2021-06-01 16:00:00,buy,2568.49,0.03885563097403515,99.80029960049954,0.0,0.0
2,0,,2021-07-22 00:00:00,sell,1995.5,-38.592311313878895,99999.9001997004,0.0,-22988.942972855057
3,0,,2021-07-27 07:00:00,buy,2188.51,35.153653812064235,76934.1229042407,0.0,0.0
4,0,,2021-07-27 08:00:00,buy,2202.02,0.03490307337744178,76.85726563859434,0.0,0.0
5,0,,2021-08-02 00:00:00,sell,2555.69,-35.18855688544168,77010.9801698793,0.0,12920.062776675139
6,0,,2021-08-02 09:00:00,buy,2573.08,34.91585124648079,89841.2785252948,0.0,0.0
7,0,,2021-08-03 11:00:00,buy,2511.6,0.03573480132118544,89.75152699828935,0.0,0.0
8,0,,2021-08-08 00:00:00,sell,3160.31,-34.951586047801975,89931.03005229308,0.0,20526.81685043597
9,0,,2021-08-08 21:00:00,buy,2990.3,36.90184565601808,110347.58906519088,0.0,0.0
10,0,,2021-08-08 22:00:00,buy,3036.01,0.036309943548752235,110.23735171344728,0.0,0.0
11,0,,2021-08-21 00:00:00,sell,3284.82,-36.938155599566834,110457.82641690433,0.0,10877.365859664807
12,0,,2021-08-22 02:00:00,buy,3249.01,37.308007185418134,121214.08842549539,0.0,0.0
13,0,,2021-08-22 03:00:00,buy,3229.05,0.037501121205937425,121.09299543003225,0.0,0.0
14,0,,2021-09-03 00:00:00,sell,3785.82,-37.34550830662407,121335.18142092542,0.0,20048.190836458114
15,0,,2021-09-04 17:00:00,buy,3900.52,36.21113366917224,141242.2510992797,0.0,0.0
16,0,,2021-09-05 02:00:00,buy,3892.2000000000003,0.036252286611508304,141.10114994931263,0.0,0.0
17,0,,2021-10-02 00:00:00,sell,3309.91,-36.24738595578375,141383.352249229,0.0,-21407.76700032082
18,0,,2021-10-04 06:00:00,buy,3364.06,35.62833911392144,119855.87047957856,0.0,0.0
19,0,,2021-10-04 07:00:00,buy,3346.57,0.035778762836345006,119.73613434522711,0.0,0.0
20,0,,2021-10-15 00:00:00,sell,3790.82,-35.664117876757786,119975.6066139238,0.0,15220.644715647166
21,0,,2021-10-17 02:00:00,buy,3848.7600000000007,35.09216208751633,135061.30975594936,0.0,0.0
22,0,,2021-10-17 03:00:00,buy,3849.5899999999997,0.035049546412099154,134.92638337255278,0.0,0.0
23,0,,2021-10-21 00:00:00,sell,4161.15,-35.127211633928425,135196.2361393219,0.0,10973.360551199354
24,0,,2021-10-22 20:00:00,buy,3983.47,36.65741373952751,146023.70790899565,0.0,0.0
25,0,,2021-10-22 21:00:00,buy,3977.5,0.03667575866220158,145.87783007890678,0.0,0.0
26,0,,2021-11-09 00:00:00,sell,4807.98,-36.69408949818971,146169.58573907457,0.0,30254.86268643158
27,0,,2021-11-09 23:00:00,buy,4757.18,37.04891258211353,176248.34595737886,0.0,0.0
28,0,,2021-11-10 07:00:00,buy,4739.78,0.03714777345861766,176.0722736836868,0.0,0.0
29,0,,2021-11-26 00:00:00,sell,4524.85,-37.08606035557215,176424.41823106253,0.0,-8615.558031151882
30,0,,2021-11-26 15:00:00,buy,4103.52,40.85307123574566,167641.39487730706,0.0,0.0
31,0,,2021-11-26 16:00:00,buy,4063.94,0.04120974250513692,167.47392095632614,0.0,0.0
32,0,,2021-11-30 00:00:00,sell,4444.53,-40.8942809782508,167808.8687982634,0.0,13946.98983800162
33,0,,2021-12-02 02:00:00,buy,4611.0,39.37854080644708,181574.45165852748,0.0,0.0
34,0,,2021-12-02 03:00:00,buy,4576.79,0.03963324919865158,181.39305859989653,0.0,0.0
